LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
41600,PAGO PAGO,AS,96799,713940,Corporation,Unanswered,Unanswered,Unanswered,,,04/30/2020,Washington Trust Bank,AS - 00
40830,PAGO PAGO,AS,96799,722511,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,23,06/26/2020,Territorial Bank of American Samoa,AS - 00
40802,PAGO PAGO,AS,96799,722511,Corporation,Asian,Female Owned,Non-Veteran,,11,05/19/2020,Territorial Bank of American Samoa,AS - 00
40715,PAGO PAGO,AS,96799,452319,Corporation,Asian,Male Owned,Non-Veteran,,12,06/22/2020,Territorial Bank of American Samoa,AS - 00
40436.24,PAGO PAGO,AS,96799,722511,Sole Proprietorship,Asian,Female Owned,Unanswered,,17,05/22/2020,Territorial Bank of American Samoa,AS - 00
39102,PAGO PAGO,AS,96799,999990,Corporation,Unanswered,Unanswered,Unanswered,,13,05/03/2020,"ANZ Guam, Inc",AS - 00
38548.12,PAGO PAGO,AS,96799,611699,Corporation,Asian,Female Owned,Unanswered,,17,06/18/2020,Territorial Bank of American Samoa,AS - 00
37800,PAGO PAGO,AS,96799,313310,Corporation,Asian,Female Owned,Unanswered,,21,05/14/2020,Territorial Bank of American Samoa,AS - 00
36762,PAGO PAGO,AS,96799,424420,Corporation,Unanswered,Unanswered,Unanswered,,18,04/29/2020,"ANZ Guam, Inc",AS - 00
36332,PAGO PAGO,AS,96799,237310,Corporation,Unanswered,Unanswered,Unanswered,,33,05/06/2020,"ANZ Guam, Inc",AS - 00
35500,PAGO PAGO,AS,96799,448140,Corporation,Asian,Male Owned,Unanswered,,25,05/21/2020,Territorial Bank of American Samoa,AS - 00
35000,PAGO PAGO,AS,96799,444120,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,10,05/06/2020,"ANZ Guam, Inc",AS - 00
35000,PAGO PAGO,AS,96799,424710,Corporation,Unanswered,Unanswered,Unanswered,,0,05/02/2020,Central Pacific Bank,AS - 00
34747,PAGO PAGO,AS,96799,453210,Corporation,Unanswered,Unanswered,Unanswered,,12,06/30/2020,"ANZ Guam, Inc",AS - 00
34701.5,PAGO PAGO,AS,96799,333992,Corporation,Asian,Male Owned,Unanswered,,32,05/28/2020,Territorial Bank of American Samoa,AS - 00
34036.04,PAGO PAGO,AS,96799,522320,Corporation,Unanswered,Unanswered,Unanswered,,6,06/15/2020,Territorial Bank of American Samoa,AS - 00
33920.93,PAGO PAGO,AS,96799,213112,Corporation,Asian,Female Owned,Unanswered,,10,05/29/2020,Territorial Bank of American Samoa,AS - 00
33785,PAGO PAGO,AS,96799,722410,Corporation,Unanswered,Unanswered,Unanswered,,20,05/01/2020,"ANZ Guam, Inc",AS - 00
32892,PAGO PAGO,AS,96799,484110,Corporation,Unanswered,Male Owned,Unanswered,,9,04/28/2020,"ANZ Guam, Inc",AS - 00
31755,PAGO PAGO,AS,96799,541219,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,5,04/30/2020,"ANZ Guam, Inc",AS - 00
31730,PAGO PAO,AS,96799,445110,Corporation,Unanswered,Unanswered,Unanswered,,16,04/29/2020,"ANZ Guam, Inc",AS - 00
31315,PAGO PAGO,AS,96799,488510,Corporation,Unanswered,Unanswered,Unanswered,,7,04/28/2020,"ANZ Guam, Inc",AS - 00
30760,PAGO PAGO,AS,96799,445110,Corporation,Unanswered,Unanswered,Unanswered,,21,05/08/2020,"ANZ Guam, Inc",AS - 00
30500,PAGO PAGO,AS,96799,541219,Corporation,Unanswered,Unanswered,Unanswered,,4,04/16/2020,"ANZ Guam, Inc",AS - 00
30200,PAGO PAGO,AS,96799,624410,Corporation,Unanswered,Unanswered,Unanswered,,10,05/01/2020,Greater Nevada CU,AS - 00
29912,PAGO PAGO,AS,96799,221210,Corporation,Unanswered,Unanswered,Unanswered,,9,04/30/2020,"ANZ Guam, Inc",AS - 00
28157.5,PAGO PAGO,AS,96799,488330,Cooperative,Unanswered,Unanswered,Unanswered,,7,06/30/2020,Territorial Bank of American Samoa,AS - 00
28125,PAGO PAGO,AS,96799,445110,Corporation,Asian,Male Owned,Non-Veteran,,17,06/23/2020,"ANZ Guam, Inc",AS - 00
28025,PAGO PAGO,AS,96799,448150,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,13,04/30/2020,"ANZ Guam, Inc",AS - 00
27977,PAGO PAGO,AS,96799,722511,Corporation,Unanswered,Unanswered,Unanswered,,18,05/01/2020,"ANZ Guam, Inc",AS - 00
27885,PAGO PAGO,AS,96799,561510,Corporation,Unanswered,Unanswered,Unanswered,,10,06/23/2020,"ANZ Guam, Inc",AS - 00
27685,PAGO PAGO,AS,96799,812199,Corporation,Unanswered,Unanswered,Unanswered,,15,04/29/2020,"ANZ Guam, Inc",AS - 00
27657,PAGO PAGO,AS,96799,524210,Corporation,Unanswered,Unanswered,Unanswered,,4,04/30/2020,"ANZ Guam, Inc",AS - 00
27220,PAGO PAGO,AS,96799,722511,Corporation,Unanswered,Unanswered,Unanswered,,15,05/01/2020,"ANZ Guam, Inc",AS - 00
27040,PAGO PAGO,AS,96799,441310,Corporation,Unanswered,Male Owned,Non-Veteran,,8,04/30/2020,"ANZ Guam, Inc",AS - 00
25000,PAGO PAGO,AS,96799,445110,Corporation,Asian,Unanswered,Unanswered,,17,06/29/2020,"ANZ Guam, Inc",AS - 00
24832.5,PAGO PAGO,AS,96799,453110,Partnership,Unanswered,Unanswered,Unanswered,,7,04/30/2020,Greater Nevada CU,AS - 00
24640,PAGO PAGO,AS,96799,813110,Non-Profit Organization,Asian,Female Owned,Non-Veteran,Y,4,06/15/2020,Territorial Bank of American Samoa,AS - 00
23650,PAGO PAGO,AS,96799,311812,Corporation,Asian,Female Owned,Non-Veteran,,22,05/19/2020,Territorial Bank of American Samoa,AS - 00
23250,PAGO PAGO,AS,96799,445110,Corporation,Unanswered,Unanswered,Unanswered,,15,04/28/2020,"ANZ Guam, Inc",AS - 00
23067.5,PAGO PAGO,AS,96799,561510,Corporation,Unanswered,Unanswered,Unanswered,,4,06/15/2020,Territorial Bank of American Samoa,AS - 00
22983.9,PAGO PAGO,AS,96799,237990,Corporation,Asian,Male Owned,Unanswered,,12,05/27/2020,Territorial Bank of American Samoa,AS - 00
22907.84,PAGO PAGO,AS,96799,445110,Corporation,Asian,Male Owned,Unanswered,,8,06/08/2020,Territorial Bank of American Samoa,AS - 00
22904.45,PAGO PAGO,AS,96799,237990,Corporation,Asian,Female Owned,Non-Veteran,,13,06/15/2020,Territorial Bank of American Samoa,AS - 00
21852.5,PAGO PAGO,AS,96799,236115,Corporation,Asian,Female Owned,Unanswered,,10,06/10/2020,Territorial Bank of American Samoa,AS - 00
21320.55,PAGO PAGO,AS,96799,624410,Sole Proprietorship,Asian,Male Owned,Non-Veteran,,18,06/25/2020,Territorial Bank of American Samoa,AS - 00
21185,PAGO PAGO,AS,96799,445120,Corporation,Unanswered,Unanswered,Unanswered,,8,06/23/2020,"ANZ Guam, Inc",AS - 00
21166.35,PAGO PAGO,AS,96799,236115,Corporation,Asian,Unanswered,Unanswered,,6,05/20/2020,Territorial Bank of American Samoa,AS - 00
20832,PAGO PAGO,AS,96799,541110,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/28/2020,First Bank of the Lake,AS - 00
20825,PAGO PAGO,AS,96799,711219,Limited  Liability Company(LLC),Asian,Male Owned,Unanswered,,1,06/03/2020,Territorial Bank of American Samoa,AS - 00
20787.5,PAGO PAGO,AS,96799,423420,Corporation,Unanswered,Unanswered,Unanswered,,7,06/11/2020,Territorial Bank of American Samoa,AS - 00
20631.04,PAGO PAGO,AS,96799,445110,Corporation,Asian,Male Owned,Unanswered,,13,05/22/2020,Territorial Bank of American Samoa,AS - 00
20000,PAGO PAGO,AS,96799,713940,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,8,06/30/2020,"ANZ Guam, Inc",AS - 00
19785,PAGO PAGO,AS,96799,452990,Corporation,Unanswered,Unanswered,Unanswered,,7,05/06/2020,"ANZ Guam, Inc",AS - 00
19395,PAGO PAGO,AS,96799,442110,Corporation,Unanswered,Unanswered,Unanswered,,10,05/06/2020,"ANZ Guam, Inc",AS - 00
18824,PAGO PAGO,AS,96799,812111,Corporation,Unanswered,Male Owned,Non-Veteran,,8,05/15/2020,Territorial Bank of American Samoa,AS - 00
18652,PAGO PAGO,AS,96799,624190,Cooperative,Unanswered,Unanswered,Unanswered,,3,04/30/2020,"ANZ Guam, Inc",AS - 00
18350,PAGO PAGO,AS,96799,447110,Corporation,Unanswered,Male Owned,Unanswered,,9,04/29/2020,"ANZ Guam, Inc",AS - 00
18060,PAGO PAGO,AS,96799,722514,Corporation,Unanswered,Unanswered,Unanswered,,16,05/08/2020,"ANZ Guam, Inc",AS - 00
17500,PAGO PAGO,AS,96799,452319,Corporation,Unanswered,Unanswered,Unanswered,,4,04/30/2020,"ANZ Guam, Inc",AS - 00
17282,PAGO PAGO,AS,96799,812210,Sole Proprietorship,Asian,Female Owned,Unanswered,,13,05/18/2020,Territorial Bank of American Samoa,AS - 00
15855,PAGO PAGO,AS,96799,111421,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,06/24/2020,Greater Nevada CU,AS - 00
15640,PAGO PAGO,AS,96799,444130,Corporation,Unanswered,Unanswered,Unanswered,,4,05/02/2020,"ANZ Guam, Inc",AS - 00
15632.87,PAGO PAGO,AS,96799,236115,Corporation,Asian,Unanswered,Unanswered,,7,06/24/2020,Territorial Bank of American Samoa,AS - 00
15175,PAGO PAGO,AS,96799,451130,Corporation,Unanswered,Unanswered,Unanswered,,7,05/02/2020,"ANZ Guam, Inc",AS - 00
15000,PAGO PAGO,AS,96799,423430,Partnership,Unanswered,Unanswered,Unanswered,,5,04/28/2020,American Express National Bank,AS - 00
14900,PAGO PAGO,AS,96799,722511,Corporation,Unanswered,Unanswered,Unanswered,,9,06/23/2020,"ANZ Guam, Inc",AS - 00
14500,PAGO PAGO,AS,96799,236220,Corporation,Asian,Unanswered,Unanswered,,7,06/30/2020,"ANZ Guam, Inc",AS - 00
14225.47,PAGO PAGO,AS,96799,445110,Corporation,Asian,Male Owned,Unanswered,,11,06/03/2020,Territorial Bank of American Samoa,AS - 00
14037,PAGO PAGO,AS,96799,445120,Corporation,Unanswered,Unanswered,Unanswered,,4,06/30/2020,"ANZ Guam, Inc",AS - 00
14015,PAGO PAGO,AS,96799,541110,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,5,04/30/2020,"ANZ Guam, Inc",AS - 00
13465,PAGO PAGO,AS,96799,445110,Corporation,Asian,Female Owned,Non-Veteran,,6,06/22/2020,Territorial Bank of American Samoa,AS - 00
13440,PAGO PAGO,AS,96799,452990,Corporation,Unanswered,Unanswered,Unanswered,,4,05/01/2020,"ANZ Guam, Inc",AS - 00
13392.5,PAGO PAGO,AS,96799,722511,Partnership,Asian,Female Owned,Unanswered,,8,06/08/2020,Territorial Bank of American Samoa,AS - 00
12710,PAGO PAGO,AS,96799,811490,Sole Proprietorship,Asian,Female Owned,Unanswered,,6,06/05/2020,Territorial Bank of American Samoa,AS - 00
12697,PAGO PAGO,AS,96799,453220,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6,04/27/2020,"ANZ Guam, Inc",AS - 00
12665,PAGO PAGO,AS,96799,453220,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,5,04/30/2020,"ANZ Guam, Inc",AS - 00
12632,PAGO PAGO,AS,96799,445110,Corporation,Unanswered,Unanswered,Unanswered,,6,05/03/2020,"ANZ Guam, Inc",AS - 00
12500,PAGO PAGO,AS,96799,621320,Corporation,Unanswered,Unanswered,Unanswered,,3,05/01/2020,"ANZ Guam, Inc",AS - 00
12497,PAGO PAGO,AS,96799,236210,Corporation,Unanswered,Unanswered,Unanswered,,8,05/15/2020,"ANZ Guam, Inc",AS - 00
12250,PAGO PAGO,AS,96799,445110,Corporation,Unanswered,Unanswered,Unanswered,,3,05/01/2020,"ANZ Guam, Inc",AS - 00
12194.66,PAGO PAGO,AS,96799,445110,Corporation,Unanswered,Male Owned,Unanswered,,9,06/03/2020,Territorial Bank of American Samoa,AS - 00
12092,PAGO PAGO,AS,96799,532111,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,3,05/06/2020,"ANZ Guam, Inc",AS - 00
12067,PAGO PAGO,AS,96799,531120,Corporation,Unanswered,Unanswered,Unanswered,,7,05/01/2020,"ANZ Guam, Inc",AS - 00
11820.92,PAGO PAGO,AS,96799,448140,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,5,04/30/2020,Greater Nevada CU,AS - 00
11700,PAGO PAGO,AS,96799,453110,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,12,06/23/2020,"ANZ Guam, Inc",AS - 00
11250,PAGO PAGO,AS,96799,323113,Corporation,Asian,Unanswered,Unanswered,,4,06/30/2020,"ANZ Guam, Inc",AS - 00
11187,PAGO PAGO,AS,96799,722511,Corporation,Unanswered,Unanswered,Unanswered,,12,06/30/2020,"ANZ Guam, Inc",AS - 00
11010,PAGO PAGO,AS,96799,445110,Corporation,Asian,Female Owned,Non-Veteran,,9,06/25/2020,Territorial Bank of American Samoa,AS - 00
10877,PAGO PAGO,AS,96799,722511,Corporation,Unanswered,Unanswered,Unanswered,,7,05/08/2020,"ANZ Guam, Inc",AS - 00
10656.3,PAGO PAGO,AS,96799,323120,Corporation,Asian,Unanswered,Unanswered,,4,05/14/2020,Territorial Bank of American Samoa,AS - 00
10530,PAGO PAGO,AS,96799,445120,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,5,06/29/2020,"ANZ Guam, Inc",AS - 00
10334.89,PAGO PAGO,AS,96799,541613,Limited  Liability Company(LLC),Asian,Female Owned,Unanswered,,6,06/05/2020,Territorial Bank of American Samoa,AS - 00
10220,PAGO PAGO,AS,96799,812210,Corporation,Asian,Male Owned,Unanswered,,7,05/18/2020,Territorial Bank of American Samoa,AS - 00
10216.67,PAGO PAGO,AS,96799,445110,Corporation,Asian,Male Owned,Non-Veteran,,13,06/22/2020,Territorial Bank of American Samoa,AS - 00
10182.92,PAGO PAGO,AS,96799,336390,Partnership,Asian,Male Owned,Non-Veteran,,6,06/24/2020,Territorial Bank of American Samoa,AS - 00
10182.5,PAGO PAGO,AS,96799,445110,Corporation,Unanswered,Male Owned,Unanswered,,6,06/05/2020,Territorial Bank of American Samoa,AS - 00
10057.5,PAGO PAGO,AS,96799,722513,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,7,06/23/2020,Territorial Bank of American Samoa,AS - 00
9710,PAGO PAGO,AS,96799,624410,Partnership,Asian,Female Owned,Non-Veteran,,11,05/18/2020,Territorial Bank of American Samoa,AS - 00
9645,PAGO PAGO,AS,96799,451140,Sole Proprietorship,White,Male Owned,Non-Veteran,,4,06/22/2020,Territorial Bank of American Samoa,AS - 00
9375,PAGO PAGO,AS,96799,624410,Sole Proprietorship,Unanswered,Male Owned,Unanswered,,12,06/22/2020,Territorial Bank of American Samoa,AS - 00
8750,PAGO PAGO,AS,96799,541921,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,4,04/30/2020,"ANZ Guam, Inc",AS - 00
8500,PAGO PAGO,AS,96799,111998,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,4,06/15/2020,Territorial Bank of American Samoa,AS - 00
8270,PAGO PAGO,AS,96799,444110,Corporation,Unanswered,Male Owned,Unanswered,,5,04/29/2020,"ANZ Guam, Inc",AS - 00
8010.42,PAGO PAGO,AS,96799,445110,Corporation,Asian,Male Owned,Non-Veteran,,5,06/22/2020,Territorial Bank of American Samoa,AS - 00
7970,PAGO PAGO,AS,96799,445120,Limited Liability Partnership,Unanswered,Male Owned,Unanswered,,4,06/29/2020,"ANZ Guam, Inc",AS - 00
7630,PAGO PAGO,AS,96799,524126,Corporation,Unanswered,Unanswered,Unanswered,,6,05/03/2020,"ANZ Guam, Inc",AS - 00
7565.62,PAGO PAGO,AS,96799,445110,Corporation,Asian,Male Owned,Non-Veteran,,4,06/25/2020,Territorial Bank of American Samoa,AS - 00
7500,PAGO PAGO,AS,96799,445110,Corporation,Asian,Male Owned,Non-Veteran,,2,06/22/2020,Territorial Bank of American Samoa,AS - 00
7500,PAGO PAGO,AS,96799,238320,Corporation,Unanswered,Unanswered,Unanswered,,4,04/30/2020,"ANZ Guam, Inc",AS - 00
7500,PAGO PAGO,AS,96799,236220,Corporation,Unanswered,Unanswered,Unanswered,,5,05/02/2020,"ANZ Guam, Inc",AS - 00
7500,PAGO PAGO,AS,96799,722410,Corporation,Unanswered,Unanswered,Unanswered,,3,06/09/2020,"ANZ Guam, Inc",AS - 00
7431.79,PAGO PAGO,AS,96799,445110,Corporation,Asian,Male Owned,Unanswered,,7,06/15/2020,Territorial Bank of American Samoa,AS - 00
7397.92,PAGO PAGO,AS,96799,624410,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,11,06/15/2020,Territorial Bank of American Samoa,AS - 00
7035,PAGO PAGO,AS,96799,611110,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,6,06/23/2020,"ANZ Guam, Inc",AS - 00
6745,PAGO PAGO,AS,96799,445110,Corporation,Unanswered,Male Owned,Unanswered,,4,06/03/2020,Territorial Bank of American Samoa,AS - 00
6625,PAGO PAGO,AS,96799,445120,Corporation,Unanswered,Unanswered,Unanswered,,3,06/30/2020,"ANZ Guam, Inc",AS - 00
6562,PAGO PAGO,AS,96799,721191,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1,06/30/2020,"ANZ Guam, Inc",AS - 00
6370,PAGO PAGO,AS,96799,813319,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,3,06/23/2020,"ANZ Guam, Inc",AS - 00
6310,PAGO PAGO,AS,96799,488119,Corporation,Unanswered,Unanswered,Unanswered,,4,04/30/2020,"ANZ Guam, Inc",AS - 00
6256.59,PAGO PAGO,AS,96799,423140,Corporation,Asian,Male Owned,Unanswered,,7,05/28/2020,Territorial Bank of American Samoa,AS - 00
6143,PAGO PAGO,AS,96799,451130,Corporation,Unanswered,Unanswered,Unanswered,,4,06/15/2020,Territorial Bank of American Samoa,AS - 00
6016.67,PAGO PAGO,AS,96799,722511,Corporation,Asian,Female Owned,Non-Veteran,,6,05/28/2020,Territorial Bank of American Samoa,AS - 00
6000,PAGO PAGO,AS,96799,722511,Corporation,Asian,Female Owned,Unanswered,,4,05/28/2020,Territorial Bank of American Samoa,AS - 00
5620,PAGO PAGO,AS,96799,488119,Corporation,Unanswered,Male Owned,Non-Veteran,,4,04/30/2020,"ANZ Guam, Inc",AS - 00
5416.67,PAGO PAGO,AS,96799,445110,Corporation,Asian,Male Owned,Unanswered,,2,05/21/2020,Territorial Bank of American Samoa,AS - 00
5415,PAGO PAGO,AS,96799,111419,Sole Proprietorship,Unanswered,Male Owned,Unanswered,,4,06/22/2020,Territorial Bank of American Samoa,AS - 00
5415,PAGO PAGO,AS,96799,445110,Partnership,Asian,Female Owned,Non-Veteran,,1,05/18/2020,Territorial Bank of American Samoa,AS - 00
5350,PAGO PAGO,AS,96799,451130,Corporation,Unanswered,Unanswered,Unanswered,,4,06/18/2020,Territorial Bank of American Samoa,AS - 00
5250,PAGO PAGO,AS,96799,445110,Corporation,Asian,Male Owned,Unanswered,,2,05/29/2020,Territorial Bank of American Samoa,AS - 00
5162,PAGO PAGO,AS,96799,114119,Corporation,Unanswered,Unanswered,Unanswered,,2,06/30/2020,"ANZ Guam, Inc",AS - 00
4945,PAGO PAGO,AS,96799,445110,Corporation,Unanswered,Male Owned,Unanswered,,2,06/12/2020,Territorial Bank of American Samoa,AS - 00
4900.08,PAGO PAGO,AS,96799,481111,Corporation,Asian,Male Owned,Unanswered,,6,05/28/2020,Territorial Bank of American Samoa,AS - 00
4685.2,PAGO PAGO,AS,96799,722513,Corporation,Asian,Female Owned,Unanswered,,7,05/22/2020,Territorial Bank of American Samoa,AS - 00
4682,PAGO PAGO,AS,96799,451130,Corporation,Unanswered,Unanswered,Unanswered,,3,05/01/2020,"ANZ Guam, Inc",AS - 00
4615,PAGO PAGO,AS,96799,624410,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,3,06/23/2020,"ANZ Guam, Inc",AS - 00
4500,PAGO PAGO,AS,96799,323113,Sole Proprietorship,White,Male Owned,Non-Veteran,,1,06/26/2020,Territorial Bank of American Samoa,AS - 00
4375,PAGO PAGO,AS,96799,445110,Corporation,Asian,Male Owned,Non-Veteran,,2,06/29/2020,Territorial Bank of American Samoa,AS - 00
4360,PAGO PAGO,AS,96799,722511,Corporation,Asian,Female Owned,Non-Veteran,,4,05/28/2020,Territorial Bank of American Samoa,AS - 00
4352,PAGO PAGO,AS,96799,722513,Corporation,Unanswered,Male Owned,Unanswered,,2,06/23/2020,"ANZ Guam, Inc",AS - 00
4325,PAGO PAGO,AS,96799,532111,Corporation,Asian,Male Owned,Unanswered,,1,05/29/2020,Territorial Bank of American Samoa,AS - 00
4312.5,PAGO PAGO,AS,96799,722511,Corporation,Asian,Male Owned,Non-Veteran,,3,06/22/2020,Territorial Bank of American Samoa,AS - 00
4166,PAGO PAGO,AS,96799,485999,Partnership,Asian,Male Owned,Non-Veteran,,2,05/13/2020,Territorial Bank of American Samoa,AS - 00
4125,PAGO PAGO,AS,96799,812112,Corporation,Asian,Female Owned,Non-Veteran,,8,06/24/2020,Territorial Bank of American Samoa,AS - 00
4067,PAGO PAGO,AS,96799,424490,Corporation,Unanswered,Unanswered,Unanswered,,2,04/30/2020,"ANZ Guam, Inc",AS - 00
3750,PAGO PAGO,AS,96799,541618,Corporation,Asian,Female Owned,Unanswered,,4,05/20/2020,Territorial Bank of American Samoa,AS - 00
3687.5,PAGO PAGO,AS,96799,445110,Corporation,Asian,Male Owned,Non-Veteran,,2,06/29/2020,Territorial Bank of American Samoa,AS - 00
3664.22,PAGO PAGO,AS,96799,445110,Corporation,Asian,Male Owned,Non-Veteran,,7,06/22/2020,Territorial Bank of American Samoa,AS - 00
3541.65,PAGO PAGO,AS,96799,445110,Partnership,Asian,Male Owned,Unanswered,,2,05/18/2020,Territorial Bank of American Samoa,AS - 00
